,Unnamed: 0,Unnamed: 0.1,round,player,action_player,opponent,action_opponent,payoff,time_php,time_js,who_played,treatment,session,player_id,context,prev,prev_player,prev_opp,y,prev_p,prev_o,prev_p2,prev_o2
8407,8407,7,1,s10n5usuario1,D,s10n5usuario7,C,4,10890.7001019,10862.0,user,fix,s10n5,84,--,--,,,0,0,0,-1,-1
8415,8415,15,2,s10n5usuario1,D,s10n5usuario7,D,1,5305.09996414,5274.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,-1,-1
8423,8423,23,3,s10n5usuario1,C,s10n5usuario7,D,0,7678.49993706,7649.0,user,fix,s10n5,84,DDC,DD,D,D,1,0,0,D,C
8431,8431,31,4,s10n5usuario1,D,s10n5usuario7,C,4,10229.899883299999,10207.0,user,fix,s10n5,84,CDD,CD,C,D,0,0,1,D,D
8439,8439,39,5,s10n5usuario1,D,s10n5usuario7,C,4,3847.8000164000014,3821.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,C,D
8447,8447,47,6,s10n5usuario1,C,s10n5usuario7,D,0,11226.7000675,11200.0,user,fix,s10n5,84,DCC,DC,D,C,1,1,0,D,C
8455,8455,55,7,s10n5usuario1,D,s10n5usuario7,D,1,4219.30003166,4195.0,user,fix,s10n5,84,CDD,CD,C,D,0,0,1,D,C
8463,8463,63,8,s10n5usuario1,D,s10n5usuario7,C,4,2089.20001984,2064.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,C,D
8471,8471,71,9,s10n5usuario1,C,s10n5usuario7,D,0,5738.39998245,5709.0,user,fix,s10n5,84,DCC,DC,D,C,1,1,0,D,D
8479,8479,79,10,s10n5usuario1,D,s10n5usuario7,C,4,4128.79991531,4069.0,user,fix,s10n5,84,CDD,CD,C,D,0,0,1,D,C
8487,8487,87,11,s10n5usuario1,C,s10n5usuario7,D,0,13432.199955000002,13402.0,user,fix,s10n5,84,DCC,DC,D,C,1,1,0,C,D
8495,8495,95,12,s10n5usuario1,D,s10n5usuario7,D,1,1470.09992599,1445.0,user,fix,s10n5,84,CDD,CD,C,D,0,0,1,D,C
8503,8503,103,13,s10n5usuario1,D,s10n5usuario7,C,4,1757.60006905,1731.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,C,D
8511,8511,111,14,s10n5usuario1,D,s10n5usuario7,C,4,2093.09983253,2065.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,D
8519,8519,119,15,s10n5usuario1,D,s10n5usuario7,C,4,1909.30008888,1884.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,C
8527,8527,127,16,s10n5usuario1,D,s10n5usuario7,D,1,2745.20015717,2722.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,C
8535,8535,135,17,s10n5usuario1,D,s10n5usuario7,D,1,2791.70012474,2765.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,C
8543,8543,143,18,s10n5usuario1,C,s10n5usuario7,D,0,3626.00016594,3597.0,user,fix,s10n5,84,DDC,DD,D,D,1,0,0,D,D
8551,8551,151,19,s10n5usuario1,D,s10n5usuario7,C,4,4782.99999237,4756.0,user,fix,s10n5,84,CDD,CD,C,D,0,0,1,D,D
8559,8559,159,20,s10n5usuario1,C,s10n5usuario7,D,0,5567.99983978,5504.0,user,fix,s10n5,84,DCC,DC,D,C,1,1,0,C,D
8567,8567,167,21,s10n5usuario1,D,s10n5usuario7,D,1,1282.19985962,1254.0,user,fix,s10n5,84,CDD,CD,C,D,0,0,1,D,C
8575,8575,175,22,s10n5usuario1,D,s10n5usuario7,D,1,876.600027084,850.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,C,D
8583,8583,183,23,s10n5usuario1,D,s10n5usuario7,C,4,6362.5998497,6335.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8591,8591,191,24,s10n5usuario1,D,s10n5usuario7,D,1,8110.59999466,8078.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,D
8599,8599,199,25,s10n5usuario1,D,s10n5usuario7,D,1,5341.50004387,5302.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,C
8607,8607,207,26,s10n5usuario1,D,s10n5usuario7,C,4,4876.69992447,4831.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8615,8615,215,27,s10n5usuario1,D,s10n5usuario7,C,4,2618.40009689,2590.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,D
8623,8623,223,28,s10n5usuario1,D,s10n5usuario7,D,1,2908.69998932,2864.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,C
8631,8631,231,29,s10n5usuario1,D,s10n5usuario7,D,1,6325.00004768,6302.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,C
8639,8639,239,30,s10n5usuario1,D,s10n5usuario7,D,1,3768.59998703,3739.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8647,8647,247,31,s10n5usuario1,D,s10n5usuario7,C,4,8087.89992332,8017.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8655,8655,255,32,s10n5usuario1,D,s10n5usuario7,C,4,4022.09997177,3994.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,D
8663,8663,263,33,s10n5usuario1,C,s10n5usuario7,C,3,4933.79998207,4909.0,user,fix,s10n5,84,DCC,DC,D,C,1,1,0,D,C
8671,8671,271,34,s10n5usuario1,D,s10n5usuario7,C,4,2272.59993553,2248.0,user,fix,s10n5,84,CCD,CC,C,C,0,1,1,D,C
8679,8679,279,35,s10n5usuario1,D,s10n5usuario7,D,1,2382.29990005,2355.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,C,C
8687,8687,287,36,s10n5usuario1,D,s10n5usuario7,D,1,3472.70011902,3449.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,C
8695,8695,295,37,s10n5usuario1,D,s10n5usuario7,D,1,1176.4998435999996,1150.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8703,8703,303,38,s10n5usuario1,D,s10n5usuario7,D,1,1284.39998627,1253.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8711,8711,311,39,s10n5usuario1,D,s10n5usuario7,D,1,961.000204086,937.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8719,8719,319,40,s10n5usuario1,C,s10n5usuario7,D,0,567.300081253,542.0,user,fix,s10n5,84,DDC,DD,D,D,1,0,0,D,D
8727,8727,327,41,s10n5usuario1,D,s10n5usuario7,D,1,3649.50013161,3620.0,user,fix,s10n5,84,CDD,CD,C,D,0,0,1,D,D
8735,8735,335,42,s10n5usuario1,D,s10n5usuario7,D,1,1344.40016747,1319.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,C,D
8743,8743,343,43,s10n5usuario1,D,s10n5usuario7,D,1,699.599981308,674.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8751,8751,351,44,s10n5usuario1,D,s10n5usuario7,D,1,623.300075531,594.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8759,8759,359,45,s10n5usuario1,D,s10n5usuario7,D,1,10193.500042,10171.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8767,8767,367,46,s10n5usuario1,D,s10n5usuario7,C,4,795.099973679,768.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8775,8775,375,47,s10n5usuario1,D,s10n5usuario7,C,4,3054.89993095,3029.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,D
8783,8783,383,48,s10n5usuario1,D,s10n5usuario7,C,4,1818.59993935,1789.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,C
8791,8791,391,49,s10n5usuario1,D,s10n5usuario7,C,4,7763.4999752,7729.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,C
8799,8799,399,50,s10n5usuario1,D,s10n5usuario7,D,1,2339.6999836,2312.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,C
8807,8807,407,51,s10n5usuario1,D,s10n5usuario7,D,1,3896.89993858,3871.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,C
8815,8815,415,52,s10n5usuario1,D,s10n5usuario7,D,1,1251.89995766,1222.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8823,8823,423,53,s10n5usuario1,D,s10n5usuario7,D,1,5406.10003471,5376.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8831,8831,431,54,s10n5usuario1,D,s10n5usuario7,D,1,1154.59990501,1128.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8839,8839,439,55,s10n5usuario1,D,s10n5usuario7,D,1,914.20006752,858.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8847,8847,447,56,s10n5usuario1,D,s10n5usuario7,D,1,849.9000072480002,826.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8855,8855,455,57,s10n5usuario1,D,s10n5usuario7,D,1,739.7000789639999,715.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8863,8863,463,58,s10n5usuario1,D,s10n5usuario7,D,1,9302.50000954,9275.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8871,8871,471,59,s10n5usuario1,D,s10n5usuario7,D,1,8985.80002785,8956.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8879,8879,479,60,s10n5usuario1,D,s10n5usuario7,D,1,3137.20011711,3109.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8887,8887,487,61,s10n5usuario1,D,s10n5usuario7,D,1,11287.1999741,11258.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8895,8895,495,62,s10n5usuario1,D,s10n5usuario7,D,1,1991.40000343,1964.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8903,8903,503,63,s10n5usuario1,D,s10n5usuario7,D,1,11447.799921,11427.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8911,8911,511,64,s10n5usuario1,D,s10n5usuario7,D,1,832.000017166,806.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8919,8919,519,65,s10n5usuario1,D,s10n5usuario7,D,1,883.300065994,858.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8927,8927,527,66,s10n5usuario1,D,s10n5usuario7,D,1,543.299913406,518.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8935,8935,535,67,s10n5usuario1,D,s10n5usuario7,D,1,3906.1999321000003,3871.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8943,8943,543,68,s10n5usuario1,D,s10n5usuario7,C,4,1092.70000458,1065.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8951,8951,551,69,s10n5usuario1,D,s10n5usuario7,C,4,567.19994545,539.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,D
8959,8959,559,70,s10n5usuario1,D,s10n5usuario7,C,4,3984.79986191,3959.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,C
8967,8967,567,71,s10n5usuario1,D,s10n5usuario7,C,4,833.699941635,804.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,C
8975,8975,575,72,s10n5usuario1,D,s10n5usuario7,D,1,576.099872589,549.0,user,fix,s10n5,84,DCD,DC,D,C,0,1,0,D,C
8983,8983,583,73,s10n5usuario1,D,s10n5usuario7,D,1,691.699981689,664.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,C
8991,8991,591,74,s10n5usuario1,D,s10n5usuario7,D,1,709.399938583,690.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
8999,8999,599,75,s10n5usuario1,D,s10n5usuario7,D,1,2079.20002937,2058.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
9007,9007,607,76,s10n5usuario1,D,s10n5usuario7,D,1,3689.89992142,3670.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
9015,9015,615,77,s10n5usuario1,D,s10n5usuario7,D,1,12302.799940100002,12249.0,user,fix,s10n5,84,DDD,DD,D,D,0,0,0,D,D
9023,9023,623,78,s10n5usuario1,C,s10n5usuario7,D,0,1810.19997597,1782.0,user,fix,s10n5,84,DDC,DD,D,D,1,0,0,D,D
