,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,round,player,action_player,opponent,action_opponent,payoff,time_php,time_js,who_played,treatment,session,context,prev,prev_player,prev_opp,prev_p2,prev_o2,km_cont_1_100,hc_cont_1_100,km_cont_sub_1_100,hc_cont_sub_1_100
0,5200,5200,0,1,s11n9usuario1,C,s11n9usuario10,C,3,5519.89984512,5485,user,rand,s11n9,--,--,,,-1,-1,0,1,0,3
1,5210,5210,10,2,s11n9usuario1,C,s11n9usuario10,D,0,8620.49984932,8561,user,rand,s11n9,CCC,CC,C,C,-1,-1,0,1,0,3
2,5220,5220,20,3,s11n9usuario1,C,s11n9usuario7,C,3,3517.69995689,3491,user,rand,s11n9,CDC,CD,C,D,C,C,0,1,0,3
3,5230,5230,30,4,s11n9usuario1,C,s11n9usuario8,D,0,2518.50008965,2491,user,rand,s11n9,CCC,CC,C,C,C,D,0,1,0,3
4,5240,5240,40,5,s11n9usuario1,C,s11n9usuario7,C,3,2759.59992409,2732,user,rand,s11n9,CDC,CD,C,D,C,C,0,1,0,3
5,5250,5250,50,6,s11n9usuario1,C,s11n9usuario3,C,3,2348.09994698,2324,user,rand,s11n9,CCC,CC,C,C,C,D,0,1,0,3
6,5260,5260,60,7,s11n9usuario1,C,s11n9usuario8,D,0,2305.09996414,2280,user,rand,s11n9,CCC,CC,C,C,C,C,0,1,0,3
7,5270,5270,70,8,s11n9usuario1,C,s11n9usuario7,D,0,2442.80004501,2411,user,rand,s11n9,CDC,CD,C,D,C,C,0,1,0,3
8,5280,5280,80,9,s11n9usuario1,D,s11n9usuario3,D,1,2130.30004501,2105,user,rand,s11n9,CDD,CD,C,D,C,D,0,1,0,3
9,5290,5290,90,10,s11n9usuario1,D,s11n9usuario8,C,4,2236.29999161,2211,user,rand,s11n9,DDD,DD,D,D,C,D,0,1,0,3
10,5300,5300,100,11,s11n9usuario1,C,s11n9usuario4,D,0,3402.60004997,3375,user,rand,s11n9,DCC,DC,D,C,D,D,0,1,0,3
